2026-04-30 11:22:12.698 [main] INFO  com.idea.BankCopilotApplication-Starting BankCopilotApplication using Java 23.0.2 with PID 96343 (/Users/qi.wangwq/IdeaProjects/BankCopilot/bank-copilot/target/classes started by qi.wangwq in /Users/qi.wangwq/IdeaProjects/BankCopilot)
2026-04-30 11:22:12.701 [main] INFO  com.idea.BankCopilotApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-30 11:22:15.494 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8081 (http)
2026-04-30 11:22:15.520 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8081"]
2026-04-30 11:22:15.522 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-30 11:22:15.522 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-30 11:22:15.611 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-04-30 11:22:15.612 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 2778 ms
2026-04-30 11:22:17.216 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8081"]
2026-04-30 11:22:17.247 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8081 (http) with context path '/'
2026-04-30 11:22:17.269 [main] INFO  com.idea.BankCopilotApplication-Started BankCopilotApplication in 5.38 seconds (process running for 6.669)
2026-04-30 11:22:39.330 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-30 11:22:39.332 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-30 11:22:39.346 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 14 ms
2026-04-30 11:22:39.393 [http-nio-8081-exec-1] INFO  com.idea.interceptor.TokenInterceptor-===== TokenInterceptor 进来了，请求路径：/assistant/brief
